player_name,batting_average,strike_rate
BN Toube (CAM),17.8,98.07
Haroon Arshad (HKG),20.88,129.09
MC Henriques (AUS),20.88,124.56
Mehidy Hasan Miraz (BAN),17.7,116.06
Surya Anand (DEN),25.28,106.3
E Beukes (CAM),20.58,129.15
Amjad Sher (FIN),11.96,133.46
V Mbazo (BOT),10.51,88.29
AJ Mosca (ITA),38.55,118.43
OA Shah (ENG),24.78,122.18
Sher Sahak (NOR),21.62,145.37
Tanzid Hasan (BAN),21.56,114.23
SO Tikolo (KENYA),28.75,122.77
D Ajekun (NGA),12.74,74.94
Khushdil Shah (PAK),19.11,109.2
Mehran Khan (OMA),10.42,106.5
WA Young (NZ),18.1,101.77
S Chanderpaul (WI),20.17,98.84
H Hiri (PNG),19.05,111
BR McDermott (AUS),18,99.7
S Kaveri (Mex),18.94,75.11
Arjun Vinod (SUI),21.31,111.43
Walid Ghauri (NOR),28.41,107.57
Ahmed Hassan (MDV),17.78,91.35
DG Blampied (JER),18.77,100
H Gori (CZK-R),30.63,132.15
HA Jackson (Fran),16.04,91.32
A Symonds (AUS),48.14,169.34
Ehsan Khan (HKG),13.44,102.12
Vikramjit Singh (NED),15.27,117.07
C Tommy (VAN),15.9,95.97
Usman Khalid (KSA),19.64,112.08
LN Oluoch (KENYA),14.47,118.5
Amir Zaib (PORT),19.52,131.22
KC Ramamoorthy (INA),15.8,106.41
Amoluk Singh (GHA),27.66,118.57
SR Mukkamalla (USA),36.77,137.91
Faisal Javed (QAT),22,155.66
Sompal Kami (NEP),10.61,111.9
SR Thompson (IRE),14.9,129.13
KD Abeyrathna (NOR),21.8,92.37
T Banton (ENG),23.35,147.96
RJ Nicol (NZ),17.21,110.47
BDH Stevens (JER),17.21,97.61
OE Olaleye (NGA),18.05,101.56
S Thanikaithasan (DEN),16.25,115.24
S Vesawkar (NEP),23.21,99.08
Z Bimenyimana (RWN),8.3,128.57
Hamza Tariq (CAN),29.45,161.19
D Muhumuza (UGA),23.14,105.53
Shahid Wasif (HKG),20.25,105.53
OGL Bascome (BER),14.68,111.76
LE Bosman (SA),24.84,147.48
R Lutaaya (UGA),17.94,126.66
Rafiullah (OMA),14.68,173.65
CP Rizwan (UAE),24.84,109.49
Ali Naseer (UAE),16.05,126.87
C Munoz-Mills (ESP),26.66,132.23
C Brennan (JER),21.26,128.11
Muhamad Syahadat (MAS),24.46,109.65
Shamim Hossain (BAN),22.71,125.69
Bakhtiar Tahiri (BUL),31.7,116.97
Zaheer Ibrahim (QAT),18.64,113.21
BM Duckett (ENG),31.5,145.16
J Singye (BHU),16.57,72.91
Abhijeet Ahuja (HUN),18.47,95.73
NJ Ferraby (JER),18.47,110.56
AM Kimote (TAN),14.95,108.27
Mohamed Azzam (MDV),9.23,75.48
Osama Mahmood (SUI),26.16,114.59
PA Raikes (GIBR),24.15,106.44
Pargat Singh (CAN),18.35,103.65
CF Tlali (LES),14.85,89.39
Faheem Ashraf (PAK),12.44,129.04
Khizer Ahmed (NOR),23.92,114.33
Muhammad Kashif (KUW),22.21,105.78
CR Brathwaite (WI),14.76,113.13
S Samarawickrama (SL),19.37,109.92
JA Fitzgerald (GIBR),19.31,131.48
A Kheterpal (HUN),28.09,119.76
R Ravindra (NZ),17.16,127.68
Aqeel Wahid (MAS),38.5,133.33
ML Hayden (AUS),51.33,143.92
LB Ferbrache (GUE),16.15,90.56
GP Meade (ITA),17.05,102.33
Waqas Barkat (HKG),13.95,92.19
A Natubhai Ahir (PAN),12.7,90.77
J Coetzee (THA),25.33,115.58
TS Kamunhukamwe (ZIM),20.26,105.55
DJ Hawoe (INA),9.46,123.67
AS Samra (PHI),23.3,119.76
TG Southee (NZ),11.22,138.99
Fiaz Ahmed (BHR),18.87,108.24
S Veerapathiran (BHR),13.13,123.77
XM Marshall (USA/WI),17.64,103.44
A Sharma (UAE),27.27,107.14
Zahir Mohammed (HUN),17.64,150.75
NL McCullum (NZ),11.5,100.67
R Panchal (ESP),27.18,90.33
W Miyauchi (JPN),18.62,101.36
A Shirai-Patmore (JPN),15.68,92.54
RR Sarwan (WI),22.92,104.19
A Limdawala (MWI),18.56,85.83
Arslan Amjad (EST),17.41,105.33
M Podosky (PHI),14.8,109.62
